burners,model,color,stove_h_mm,stove_w_mm,stove_d_mm,stove_h_inch,stove_w_inch,stove_d_inch,cut_off_w_mm_op1,cut_off_d_mm_op1,cut_off_w_inch_op1,cut_off_d_inch_op1,cut_off_w_mm_op2,cut_off_d_mm_op2,cut_off_w_inch_op2,cut_off_d_inch_op2,lg_burner_max_gas_mj,m_burner_max_gas_mj,s_burner_max_gas_mj,l_burner_max_gas_mj,r_burner_max_gas_mj,lg_burner_min_gas_mj,m_burner_min_gas_mj,s_burner_min_gas_mj,l_burner_min_gas_mj,r_burner_min_gas_mj,lg_burner_max_gas_kw,m_burner_max_gas_kw,s_burner_max_gas_kw,l_burner_max_gas_kw,r_burner_max_gas_kw,lg_burner_min_gas_kw,m_burner_min_gas_kw,s_burner_min_gas_kw,l_burner_min_gas_kw,r_burner_min_gas_kw,stove_weight_kg,stove_weight_lb,electric_supply,description
3,MEGA3,"[""BG""]",125,852,438,4.9,33.5,17.2,815,405,32.1,15.9,,,,,21.6,0,10.1,0,0,1.1,0,10.1,0,0,6,0,2.8,0,0,0.3,0,2.8,0,0,15.5,34.1,DC x 2,"2 x lg_burner, 1 x s_burner"
3,TRTB83ST-G,"[""BG"", ""WG""]",128,860,450,5,33.9,17.7,815,405,32.1,15.9,,,,,18,0,10.1,0,0,1.4,0,10.1,0,0,5,0,2.8,0,0,0.4,0,2.8,0,0,20,44,DC x 2,"2 x lg_burner, 1 x s_burner"
3,TRTB53ST-G,"[""BG"", ""WG""]",128,640,500,5,25.2,19.7,555,475,21.9,18.7,,,,,18,0,10.1,0,0,1.4,0,10.1,0,0,5,0,2.8,0,0,0.4,0,2.8,0,0,18,39.6,DC x 2,"1 x lg_burner, 2 x s_burner"
2,MEGA2,"[""BG""]",125,737,438,4.9,29,17.2,703,403,27.7,15.9,,,,,21.6,0,0,0,0,1.1,0,0,0,0,6,0,0,0,0,0.3,0,0,0,0,14.5,31.9,DC x 2,2 x lg_burner
2,TRJB72NT-C,"[""BG""]",96,737,328,3.8,29,17.2,703,403,27.7,15.9,,,,,15.1,0,0,0,0,1.8,0,0,0,0,4.2,0,0,0,0,0.5,0,0,0,0,11,24.2,DC x 2,2 x lg_burner
2,TRTB72LT-C,"[""BG"", ""GEG""]",109,746,440,4.3,29.4,17.3,703,403,27.7,15.9,,,,,19.1,0,0,0,0,1.1,0,0,0,0,5.3,0,0,0,0,0.4,0,0,0,0,12.5,27.5,DC x 2,2 x lg_burner
2,TRTB72ST-G,"[""BG"", WG""]",128,760,450,5,29.9,17.7,703,403,27.7,15.9,,,,,18,0,0,0,0,1.4,0,0,0,0,5,0,0,0,0,0.4,0,0,0,0,17,37.4,DC x 2,2 x lg_burner
2,TRTB62ST-G,"[""BG"", ""WG"", ""BUG"", ""GG"", ""RG""]",128,720,420,5,28.3,16.5,670,350,26.4,13.8,,,,,18,0,0,0,0,1.4,0,0,0,0,5,0,0,0,0,0.4,0,0,0,0,17,37.4,DC x 2,2 x lg_burner
2,STB62GM,"[""BG""]",142,745,445,5.6,29.3,17.5,670,350,26.4,13.8,703,403,27.7,15.9,0,0,0,15.1,18,0,0,0,2.9,1.8,0,0,0,4.2,5,0,0,0,0.8,0.5,18,39.6,DC x 2,"1 x l_burner, 1 x r_burner"
2,ST62TG,"[""BG""]",142,745,445,5.6,29.3,17.5,670,350,26.4,13.8,703,403,27.7,15.9,18,0,0,0,0,1.8,0,0,0,0,5,0,0,0,0,0.5,0,0,0,0,18,39.6,DC x 2,2 x lg_burner
2,HZB62GMN,"[""BG""]",131,760,450,5.2,29.9,17.7,670,350,26.4,13.8,703,403,27.7,15.9,0,0,0,18,18,0,0,0,2.2,1.8,0,0,0,5,5,0,0,0,0.6,0.5,17,37.5,DC x 2,"1 x l_burner, 1 x r_burner"
2,RJB32C,"[""BG""]",126,290,520,5,11.4,20.5,268,490,10.6,19.3,,,,,10.1,0,6.1,0,0,10.1,0,6.1,0,0,2.8,0,1.7,0,0,2.8,0,1.7,0,0,7.2,15.8,CC,"1 x lg_burner, 1 x s_burner"
1,RJB31CT,"[""BG""]",124,290,520,4.9,11.4,20.5,268,490,10.6,19.3,,,,,21.6,0,0,0,0,1.1,0,0,0,0,6,0,0,0,0,0.3,0,0,0,0,7.7,16.9,DC x 2,1 x lg_burner
1,RJB31CG,"[""BG""]",106,290,520,4.2,11.4,20.5,268,490,10.6,19.3,,,,,7.7,0,0,0,0,3.2,0,0,0,0,2.2,0,0,0,0,0.9,0,0,0,0,7.3,16.1,CC,1 x lg_burner
